Trade #,Buy Amount (USDT),Sell Gross (USDT),Fee (0.4%),Sell After Fee,Net Profit,Total Capital (USDT),Total Capital (INR),Growth %
301,19.788466,20.085293,0.080341,20.004952,0.216486,21.771068,1741.69,2077.11
302,19.986351,20.286146,0.081145,20.205002,0.218651,21.989719,1759.18,2098.97
303,20.186214,20.489008,0.081956,20.407052,0.220837,22.210556,1776.84,2121.06
304,20.388077,20.693898,0.082776,20.611122,0.223046,22.433601,1794.69,2143.36
305,20.591957,20.900837,0.083603,20.817233,0.225276,22.658877,1812.71,2165.89
306,20.797877,21.109845,0.084439,21.025406,0.227529,22.886406,1830.91,2188.64
307,21.005856,21.320944,0.085284,21.23566,0.229804,23.11621,1849.3,2211.62
308,21.215914,21.534153,0.086137,21.448016,0.232102,23.348312,1867.86,2234.83
309,21.428073,21.749494,0.086998,21.662497,0.234423,23.582735,1886.62,2258.27
310,21.642354,21.966989,0.087868,21.879121,0.236767,23.819503,1905.56,2281.95
311,21.858778,22.186659,0.088747,22.097913,0.239135,24.058638,1924.69,2305.86
312,22.077365,22.408526,0.089634,22.318892,0.241526,24.300164,1944.01,2330.02
313,22.298139,22.632611,0.09053,22.542081,0.243942,24.544106,1963.53,2354.41
314,22.52112,22.858937,0.091436,22.767502,0.246381,24.790487,1983.24,2379.05
315,22.746332,23.087527,0.09235,22.995177,0.248845,25.039332,2003.15,2403.93
316,22.973795,23.318402,0.093274,23.225128,0.251333,25.290665,2023.25,2429.07
317,23.203533,23.551586,0.094206,23.45738,0.253847,25.544512,2043.56,2454.45
318,23.435568,23.787102,0.095148,23.691953,0.256385,25.800897,2064.07,2480.09
319,23.669924,24.024973,0.0961,23.928873,0.258949,26.059846,2084.79,2505.98
320,23.906623,24.265223,0.097061,24.168162,0.261538,26.321384,2105.71,2532.14
321,24.145689,24.507875,0.098031,24.409843,0.264154,26.585538,2126.84,2558.55
322,24.387146,24.752954,0.099012,24.653942,0.266795,26.852333,2148.19,2585.23
323,24.631018,25.000483,0.100002,24.900481,0.269463,27.121797,2169.74,2612.18
324,24.877328,25.250488,0.101002,25.149486,0.272158,27.393955,2191.52,2639.4
